,name,url,bedrooms,beds,bathrooms,reviews,price,x,y,rating
39216865,ILA0157 Casa Isotta,https://www.airbnb.it/rooms/39216865?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,1.0,2,1,3.0,129.0,9.5793,44.1839,4.0
18269754,Bonassola bilocale con mare dentro 011005-LT-0074,https://www.airbnb.it/rooms/18269754?adults=1&children=0&infants=0&check_in=2022-12-02&check_out=2022-12-09&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,1.0,3,1,31.0,125.0,9.58022,44.18427,4.97
7359742,Casa vacanze Dolce Glicine,https://www.airbnb.it/rooms/7359742?adults=1&children=0&infants=0&check_in=2022-10-02&check_out=2022-10-08&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,1.0,5,1,45.0,120.0,9.58653,44.18737,4.64
1046858,un nido sul golfo di Levanto CITRA:011017-LT-0042,https://www.airbnb.it/rooms/1046858?adults=1&children=0&infants=0&check_in=2022-10-08&check_out=2022-10-15&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,1.0,1,1,104.0,69.0,9.63799,44.18789,4.83
19291856,Da Carlo .,https://www.airbnb.it/rooms/19291856?adults=1&children=0&infants=0&check_in=2022-10-11&check_out=2022-10-18&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,1.0,1,1,82.0,80.0,9.6189,44.17824,4.99
20822542,"BREZZA DI MARE, Accogliente monolocale a 2’ dalla stazione",https://www.airbnb.it/rooms/20822542?adults=1&children=0&infants=0&check_in=2022-10-17&check_out=2022-10-22&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,,1,1,62.0,75.0,9.6173,44.173,4.84
40000460,PRIMA FILA PANORAMA E SILENZIO 011014-LT-0030,https://www.airbnb.it/rooms/40000460?adults=1&children=0&infants=0&check_in=2022-10-02&check_out=2022-10-09&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,2.0,3,1,15.0,100.0,9.55389,44.20335,4.87
6042880,Casa mare Montaretto 2-Cinqueterre,https://www.airbnb.it/rooms/6042880?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,1.0,2,1,243.0,94.0,9.57471,44.19562,4.83
37472563,AGRITURISMO ZULIN  CASA ELENA Levanto 5 Terre,https://www.airbnb.it/rooms/37472563?adults=1&children=0&infants=0&check_in=2022-10-19&check_out=2022-10-24&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,1.0,1,1,42.0,80.0,9.6122,44.175,4.9
6043179,Casa mare Montaretto 1-Cinqueterre,https://www.airbnb.it/rooms/6043179?adults=1&children=0&infants=0&check_in=2022-10-04&check_out=2022-10-09&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,1.0,2,1,283.0,94.0,9.57722,44.19548,4.86
22728880,"Alloggio di charme x4, loggia coperta, vista mare",https://www.airbnb.it/rooms/22728880?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,2.0,3,1,7.0,106.0,9.5858,44.1891,4.57
6686610,"Centrale e tranquillo, a 100 m dal mare",https://www.airbnb.it/rooms/6686610?adults=1&children=0&infants=0&check_in=2022-10-24&check_out=2022-10-30&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,2.0,5,1,32.0,88.0,9.60993,44.17167,4.66
26768069,S.Anna Levanto,https://www.airbnb.it/rooms/26768069?adults=1&children=0&infants=0&check_in=2022-10-13&check_out=2022-10-20&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,,1,1,35.0,53.0,9.61289,44.17587,4.47
4162317,Borgo tipico collinare,https://www.airbnb.it/rooms/4162317?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,1.0,1,1,62.0,72.0,9.58519,44.19046,4.44
588402800026884886,Bilocale con giardino  Sivori 2,https://www.airbnb.it/rooms/588402800026884886?adults=1&children=0&infants=0&check_in=2022-10-09&check_out=2022-10-14&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,1.0,2,1,,76.0,9.58131,44.1841,
11763110,"ANGOLO DI PARADISO, monolocale vista mare",https://www.airbnb.it/rooms/11763110?adults=1&children=0&infants=0&check_in=2022-11-04&check_out=2022-11-09&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,,1,1,210.0,75.0,9.61587,44.17213,4.78
11755817,Azzurro come il mare di Bonassola,https://www.airbnb.it/rooms/11755817?adults=1&children=0&infants=0&check_in=2022-11-30&check_out=2022-12-05&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,2.0,3,1,5.0,95.0,9.58216,44.18309,4.0
594586210558279386,Appartamento Daneri 2,https://www.airbnb.it/rooms/594586210558279386?adults=1&children=0&infants=0&check_in=2022-10-04&check_out=2022-10-11&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,2.0,3,1,,95.0,9.58323,44.18427,
659413838210503919,Splendido monolocale a 40mt dal mare  di Bonassola,https://www.airbnb.it/rooms/659413838210503919?adults=1&children=0&infants=0&check_in=2022-10-03&check_out=2022-10-08&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,,2,1,,147.0,9.5804,44.1834,
589770836982941169,Apparramento con Giardino Bonassola,https://www.airbnb.it/rooms/589770836982941169?adults=1&children=0&infants=0&check_in=2022-10-09&check_out=2022-10-15&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,2.0,2,1,,95.0,9.5746,44.18328,
39001334,Pochi passi dal  Mare e dal sentiero per le 5terre,https://www.airbnb.it/rooms/39001334?adults=1&children=0&infants=0&check_in=2022-10-09&check_out=2022-10-14&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,1.0,3,1,45.0,105.0,9.6126,44.1662,4.84
10845905,Hotel villa gentile Camera twin / 2 letti,https://www.airbnb.it/rooms/10845905?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,1.0,2,1,80.0,94.0,9.61038,44.16971,4.9
17713486,Chloé,https://www.airbnb.it/rooms/17713486?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,1.0,2,1,150.0,127.0,9.60688,44.17317,4.63
18327785,APPARTAMENTO CON GIARDINO E TERRAZZO CON GARAGE,https://www.airbnb.it/rooms/18327785?adults=1&children=0&infants=0&check_in=2022-11-18&check_out=2022-11-24&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,2.0,2,1,44.0,76.0,9.61229,44.16742,4.61
25026474,Luminoso appartamento frontemare a Deiva Marina,https://www.airbnb.it/rooms/25026474?adults=1&children=0&infants=0&check_in=2022-10-17&check_out=2022-10-22&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,2.0,4,1,56.0,82.0,9.51347,44.21533,4.8
51036898,Spartan Yet Comfortable Apt With Stunning View,https://www.airbnb.it/rooms/51036898?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-11-02&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,2.0,3,2,28.0,138.0,9.5875,44.18625,4.89
44694694,"Le Lagore, esperienza di Glamping Tent&Stable",https://www.airbnb.it/rooms/44694694?adults=1&children=0&infants=0&check_in=2022-10-16&check_out=2022-10-21&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,2.0,1,1,68.0,310.0,9.59636,44.17754,4.97
3323427,Framura: villa nel verde,https://www.airbnb.it/rooms/3323427?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,,2,1,40.0,71.0,9.56392,44.20649,4.68
49183951,B&B Via Sant'Anna 3,https://www.airbnb.it/rooms/49183951?adults=1&children=0&infants=0&check_in=2022-10-10&check_out=2022-10-16&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,1.0,1,1,32.0,106.0,9.61287,44.17622,4.97
