,name,location,x,y,geometry
394,A2A Stazione di Ricarica,"Via Savona, 50",9.1632357,45.45401,POINT (9.1632357 45.45401)
406,Ricarica Metro Baranzate,"Via Milano, 6",9.1172653,45.5199082,POINT (9.1172653 45.5199082)
410,Lidl Stazione di Ricarica,"Via Carlo Cattaneo, 1",9.1086638,45.5412148,POINT (9.1086638 45.5412148)
417,Be Charge Charging Station,V.le Milanofiori,9.1521979,45.4053035,POINT (9.1521979 45.4053035)
420,Be Charge Stazione di Ricarica, ⋅ Chiude alle ore: 22,9.1507133,45.4027812,POINT (9.1507133 45.4027812)
432,Enistation Mantovani via Mecenate,"Via Mecenate, 78",9.2483174,45.4524856,POINT (9.2483174 45.4524856)
434,Be Charge Charging Station,"Via Giovanni Pascoli, 22",9.27026,45.44527,POINT (9.27026 45.44527)
441,Eni Station,Via Stamira d'Ancona Valtorta,9.2288204,45.5007521,POINT (9.2288204 45.5007521)
456,Enel X Stazione di Ricarica,"Viale della Fonte Lunga, 1A",9.150605,45.4065473,POINT (9.150605 45.4065473)
459,Eni Station,"Viale Misurata, 56",9.1526335,45.4546294,POINT (9.1526335 45.4546294)
463,Next Charge Charging Station,"Viale S. Michele del Carso, 14",9.164235,45.464219,POINT (9.164235 45.464219)
464,Be Charge Charging Station,"Via Giorgio Washington, 53",9.15586,45.46101,POINT (9.15586 45.46101)
465,e-moving Charging Station,Via del Burchiello,9.1601413,45.4685446,POINT (9.1601413 45.4685446)
467,Electric Vehicle Charging Station,"Viale Ergisto Bezzi, 69",9.1489274,45.4623327,POINT (9.1489274 45.4623327)
468,Eni Station,"Via delle Forze Armate, 322",9.099095,45.460175,POINT (9.099095 45.460175)
504,Eni Station,"Via Gioacchino Murat, 14",9.1918535,45.4979967,POINT (9.1918535 45.4979967)
515,e-moving Charging Station,"Viale Legioni Romane, 2",9.1360952,45.4613723,POINT (9.1360952 45.4613723)
523,Colonnina e-Station Media World,Via Raffaele Rubattino 84 Milano MI An,9.2459116,45.4799554,POINT (9.2459116 45.4799554)
524,Enel X Stazione di ricarica,,9.2555441,45.4779237,POINT (9.2555441 45.4779237)
525,Be Charge Charging Station,"Via Riccardo Pitteri, 95",9.24577,45.47971,POINT (9.24577 45.47971)
527,ENEL X Stazione di Ricarica,"Via Piaggio, 3",9.264136,45.486122,POINT (9.264136 45.486122)
529,Stazione di Ricarica Veicolo Elettrico,"Via Piaggio, 5",9.2636925,45.4854721,POINT (9.2636925 45.4854721)
